Hora,Temperatura_C,Radiancia_W_m2,Temperatura_celula_C,Potencia_W
1,"26,1",0,0,0
2,"26,7",0,0,0
3,"25,8",0,0,0
4,"24,3",0,0,0
5,"23,8",0,0,0
6,"24,8",0,0,0
7,"25,5","39,278092","26,72744038","128,5885449"
8,29,"120,639854","32,76999544","394,9064958"
9,"31,6","450,0036","45,6626125","1472,706232"
10,"32,7","658,3386","53,27308125","2154,212017"
11,34,"684,44992","55,38906","2239,565852"
12,"35,5","841,39562","61,79361313","2752,777145"
13,"36,6","587,5047","54,95952188","1922,369861"
14,"37,4","785,28406","61,94012688","2569,191132"
15,"37,2","608,06042","56,20188813","1989,58445"
16,"36,6","302,50242","46,05320063","989,9787185"
17,"36,1","215,862838","42,84571369","706,4811836"
18,35,"68,667216","37,1458505","224,7593894"
19,"32,5",0,"32,5",0
20,"30,8",0,"30,8",0
21,"29,3",0,"29,3",0
22,"28,5",0,"28,5",0
23,"27,4",0,"27,4",0
24,"27,8",0,"27,8",0
1,"25,6",0,"25,6",0
2,"25,6",0,"25,6",0
3,"24,7",0,"24,7",0
4,"24,1",0,"24,1",0
5,"26,1",0,"26,1",0
6,"23,8",0,"23,8",0
7,"26,3","31,972478","27,29913994","104,6703352"
8,"29,5","109,000872","32,90627725","356,8061691"
9,33,"413,33664","45,91677","1352,7016"
10,33,"619,17162","52,34911313","2026,084595"
11,"35,3","786,67296","59,88353","2573,832886"
12,"36,4","888,896","64,178","2908,055153"
13,"35,3","491,11504","50,647345","1607,101883"
14,"37,2","597,78256","55,880705","1955,966708"
15,"37,7","448,05914","51,70184813","1466,179229"
16,"38,1","456,11476","52,35358625","1492,521593"
17,"36,2","236,751894","43,59849669","774,8366318"
18,"34,3","9,4278532","34,59462041","30,86040795"
19,"31,6",0,"31,6",0
20,32,0,32,0
21,30,0,30,0
22,"28,9",0,"28,9",0
23,"29,6",0,"29,6",0
24,"28,5",0,"28,5",0
1,"27,7",0,"27,7",0
2,"26,1",0,"26,1",0
3,"25,1",0,"25,1",0
4,"25,3",0,"25,3",0
5,"25,6",0,"25,6",0
6,26,0,26,0
7,"27,2","37,333632","28,366676","122,2190786"
8,"30,5","102,556376","33,70488675","335,7056479"
9,31,"446,39246","44,94976438","1460,907441"
10,"32,2","629,1717","51,86161563","2058,825889"
11,"34,4","786,39518","58,97484938","2572,967213"
12,"36,3","720,28354","58,80886063","2356,667054"
13,"36,5","907,50726","64,85960188","2968,905193"
14,"36,4","824,45104","62,164095","2697,321452"
15,"37,6","705,28342","59,64010688","2307,553343"
16,36,"362,78068","47,33689625","1187,219074"
17,"35,5","248,140874","43,25440231","812,1154044"
18,"34,4","40,13921","35,65435031","131,3860265"
19,"32,9",0,"32,9",0
20,"31,9",0,"31,9",0
21,"30,3",0,"30,3",0
22,"29,6",0,"29,6",0
23,"29,1",0,"29,1",0
24,"29,2",0,"29,2",0
1,"28,2",0,"28,2",0
2,"27,7",0,"27,7",0
3,"27,7",0,"27,7",0
4,"26,8",0,"26,8",0
5,"26,3",0,"26,3",0
6,"26,6",0,"26,6",0
7,"27,8","31,305806","28,77830644","102,4850114"
8,"29,7","115,41759","33,30679969","377,8080212"
9,31,"389,16978","43,16155563","1273,676963"
10,"31,7","547,2266","48,80083125","1790,779766"
11,"33,2","406,39214","45,89975438","1329,975177"
12,"33,4","666,39422","54,22481938","2180,533262"
13,"34,8","392,50314","47,06572313","1284,493835"
14,"34,5","690,2833","56,07135313","2258,62461"
15,"33,6","496,39286","49,11227688","1624,418804"
16,"32,5","254,252034","40,44537606","832,1591504"
17,"31,6","102,973046","34,81790769","337,0626425"
18,"30,6","46,833708","32,06355338","153,3090103"
19,30,0,30,0
20,29,0,29,0
21,"28,4",0,"28,4",0
22,"27,1",0,"27,1",0
23,"27,3",0,"27,3",0
24,"26,3",0,"26,3",0
1,"25,7",0,"25,7",0
2,"25,8",0,"25,8",0
3,"24,8",0,"24,8",0
4,"25,6",0,"25,6",0
5,"25,3",0,"25,3",0
6,"25,8",0,"25,8",0
7,"25,9","34,333608","26,97292525","112,4007932"
8,"28,5","144,917826","33,02868206","474,3765494"
9,"29,2","403,05878","41,79558688","1319,166216"
10,30,"543,0599","46,97062188","1777,204427"
11,"30,6","823,89548","56,34673375","2695,793375"
12,"31,1","829,1733","57,01166563","2713,029144"
13,"32,6","796,11748","57,47867125","2604,849074"
14,"33,7","806,9509","58,91721563","2640,225258"
15,"33,6","719,17242","56,07413813","2353,150429"
16,"34,1","552,7822","51,37444375","1808,874334"
17,"34,1","301,94686","43,53583938","988,2064917"
18,29,"94,667424","31,958357","309,8921242"
19,"27,9",0,"27,9",0
20,"27,3",0,"27,3",0
21,"27,8",0,"27,8",0
22,"27,6",0,"27,6",0
23,26,0,26,0
24,"25,8",0,"25,8",0
1,"25,9",0,"25,9",0
2,"25,5",0,"25,5",0
3,"25,2",0,"25,2",0
4,"24,2",0,"24,2",0
5,"24,2",0,"24,2",0
6,"24,5",0,"24,5",0
7,"26,1","36,361402","27,23629381","119,0387729"
8,"28,7","158,362378","33,64882431","518,3802489"
9,"29,2","264,696562","37,47176756","866,3913185"
10,"30,7","335,00268","41,16883375","1096,438911"
11,"33,1","661,1164","53,7598875","2163,282079"
12,34,"886,95154","61,71723563","2901,825626"
13,"34,9","740,2837","58,03386563","2422,139438"
14,"34,7","457,78144","49,00567","1498,067967"
15,"33,8","550,55996","51,00499875","1801,614764"
16,"31,3","264,946564","39,57958013","867,1758776"
17,"30,1","103,223048","33,32572025","337,8902808"
18,"28,8","21,9112864","29,4847277","71,72947936"
19,"28,1",0,"28,1",0
20,"27,6",0,"27,6",0
21,27,0,27,0
22,"26,5",0,"26,5",0
